Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=,+,-,*,/,ID,(,),{,},[,],>,<,!,SEP_COMMA,SYM_ADDR,KEY_INT,KEY_FLOAT,KEY_CHAR,KEY_IF,KEY_ELSE,KEY_STRUCT,VALUE_INT,KEY_RETURN,KEY_WHILE,VALUE_FLOAT,VALUE_STRING,VALUE_CHAR,#END,$,Exp,A,B,MS,S,P,VAL_LIST,VAL_LIST_NEXT,DEF_VAL_LIST,DEF_FUNC,TYPE,OP_LOW,OP_HIGH,VAL_LOC,DEF_VALUE,RETURN,BOOL,CMP,OP_CMP,IF_S,ELSEIF_S,ELSE_S,WHILE_S,DEF_STRUCT,DEF_ARRAY,MULT_DEF,DEF_V,FUNC_START
0,,,,,,,,,,,,,,,,,,shift?9,shift?10,shift?11,,,shift?12,,,,,,,,,,,,,,1,,,,2,3,,,,4,,,,,,,,,5,6,,7,8
1,,,,,,,,,,,,,,,,,,shift?9,shift?10,shift?11,,,shift?12,,,,,,,,accept,,,,,,,,,,13,3,,,,4,,,,,,,,,5,6,,14,8
2,,,,,,,,,,,,,,,,,,reduce?P?->?DEF_FUNC,reduce?P?->?DEF_FUNC,reduce?P?->?DEF_FUNC,,,reduce?P?->?DEF_FUNC,,,,,,,,reduce?P?->?DEF_FUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,shift?15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?DEF_V?->?DEF_VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?DEF_V?->?DEF_STRUCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?DEF_V?->?DEF_ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shift?16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,shift?24,,,,,,,,,,,,shift?9,shift?10,shift?11,shift?25,,shift?12,,shift?26,shift?27,,,,,,,,,17,18,,,,,,19,,,,4,20,,,,21,,,22,5,6,,23,
9,,,,shift?28,,reduce?TYPE?->?KEY_INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,shift?29,,reduce?TYPE?->?KEY_FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,shift?30,,reduce?TYPE?->?KEY_CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,shift?31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,reduce?P?->?P?DEF_FUNC,reduce?P?->?P?DEF_FUNC,reduce?P?->?P?DEF_FUNC,,,reduce?P?->?P?DEF_FUNC,,,,,,,,reduce?P?->?P?DEF_FUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shift?32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,shift?33,,,,,,shift?34,,,,shift?35,,,,,,,,,,,,,,,,,,,reduce?DEF_VALUE?->?TYPE?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,reduce?P?->?DEF_V?#END,reduce?P?->?DEF_V?#END,reduce?P?->?DEF_V?#END,,,reduce?P?->?DEF_V?#END,,,,,,,,reduce?P?->?DEF_V?#END,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,shift?36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shift?37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,shift?38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?S?->?RETURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
